2019-10-28 10:46:47	LAPTOP-HTT5C61E	loglevel:error,	select carriage,mile_time,mile,source,0,keyid from interface.if_train_mile_history_yx where carriage="10101" and deal_type is null ORDER BY mile_time,mile;	1146 (42S02): Table 'interface.if_train_mile_history_yx' doesn't exist
2019-10-28 10:47:39	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 10:47:39 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1210 	starting
2019-10-28 10:50:12	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 10:50:12 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1210 	starting
2019-10-28 11:06:32	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 11:06:32 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1210 	starting
2019-10-28 16:43:41	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 16:43:41 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1219 	starting
[[2.57000e+02 6.83195e+05 0.00000e+00 5.50900e+03 7.40000e+01 0.00000e+00]
 [2.57000e+02 6.81395e+05 0.00000e+00 5.51000e+03 0.00000e+00 0.00000e+00]
 [2.58000e+02 6.81444e+05 0.00000e+00 5.53200e+03 0.00000e+00 0.00000e+00]]	 需要人工干预
2019-10-28 16:45:36	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 16:45:36 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1219 	starting
[[2.57000e+02 6.83195e+05 0.00000e+00 5.50900e+03 7.40000e+01 0.00000e+00]
 [2.57000e+02 6.81395e+05 0.00000e+00 5.51000e+03 0.00000e+00 0.00000e+00]
 [2.58000e+02 6.81444e+05 0.00000e+00 5.53200e+03 0.00000e+00 0.00000e+00]]	 需要人工干预
2019-10-28 16:48:05	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 16:48:05 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1219 	starting
2019-10-28 17:00:14	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:00:14 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1219 	starting
2019-10-28 17:13:12	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:13:12 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1219 	starting
2019-10-28 17:34:34	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:34:34 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1231 	starting
2019-10-28 17:35:42	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:35:42 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:36:51	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:36:51 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:38:02	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:38:02 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:39:12	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:39:12 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:44:04	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:44:04 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:44:32	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:44:32 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1230 	starting
2019-10-28 17:50:01	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:50:01 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1231 	starting
2019-10-28 17:56:09	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:56:09 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1231 	starting
2019-10-28 17:59:24	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 17:59:24 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 18:25:30	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 18:25:30 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 18:26:47	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 18:26:47 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 18:27:47	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 18:27:47 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 18:28:06	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 18:28:06 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 19:03:24	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:03:24 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 19:03:32	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:03:32 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 19:03:56	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:03:56 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1233 	starting
2019-10-28 19:33:33	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:33:33 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1238 	starting
2019-10-28 19:33:46	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:33:46 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1238 	starting
2019-10-28 19:36:57	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:36:57 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:39:03	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:39:03 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:40:47	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:40:47 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:45:24	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:45:24 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:47:21	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:47:21 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:48:10	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:48:10 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1239 	starting
2019-10-28 19:50:11	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:50:11 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1241 	starting
2019-10-28 19:51:46	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:51:46 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1241 	starting
2019-10-28 19:52:02	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:52:02 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1241 	starting
2019-10-28 19:52:31	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:52:31 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1241 	starting
2019-10-28 19:52:44	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:52:44 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1241 	starting
2019-10-28 19:55:59	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:55:59 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 19:56:12	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:56:12 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 19:57:58	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:57:58 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 19:58:13	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:58:13 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 19:58:32	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:58:32 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 19:59:03	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 19:59:03 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:04:42	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:04:42 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:05:41	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:05:41 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:07:02	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:07:02 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:09:16	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:09:16 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:11:50	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:11:50 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:16:56	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:16:56 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:16:57	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:16:57 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
2019-10-28 20:16:58	LAPTOP-HTT5C61E	loglevel:info,	2019-10-28 20:16:58 file:F:/XJ_GitHub/luqian/data_manage.git/draft/d_repairData_mile_anal.py funcname:dataset_compensation line:1242 	starting
